CPIAUCSL,FEDFUNDS,M2SL,M2V,GDPC1
185.1,1.01,6079.9,1.9263333333333332,15104.767333333333
184.9,1.01,6070.2,1.938,15162.76
185.0,1.0,6075.7,1.9413333333333334,15191.4
185.5,0.98,6074.0,1.9446666666666665,15220.04
186.3,1.0,6082.2,1.948,15248.68
186.7,1.01,6121.9,1.9446666666666665,15288.07
187.1,1.0,6158.0,1.9413333333333334,15327.460000000001
187.4,1.0,6199.1,1.938,15366.85
188.2,1.0,6275.9,1.941,15415.439666666667
188.9,1.03,6278.1,1.944,15464.029333333334
189.1,1.26,6291.3,1.947,15512.619
189.2,1.43,6317.9,1.95,15565.372666666666
189.8,1.61,6352.3,1.953,15618.126333333334
190.8,1.76,6379.9,1.956,15670.88
191.7,1.93,6406.5,1.965,15728.829
191.7,2.16,6424.7,1.974,15786.778
191.6,2.28,6431.0,1.983,15844.727
192.4,2.5,6439.1,1.9863333333333335,15870.745333333334
193.1,2.63,6448.4,1.9896666666666667,15896.763666666666
